"OneQuestion","TwoQuestion","ThreeQuestion"
"На схеме изображён процесс принятия решения Quality Gate в DevSecOps-конвейере. Опишите простыми словами, как он работает: что происходит от Merge Request до деплоя в prod и в какой момент возникает Reject? \\ \protect\includegraphics[width=8cm]{case1.png}","Что такое Git SCM? Опишите базовый рабочий цикл: \texttt{init}, \texttt{clone}, \texttt{add}, \texttt{commit}, \texttt{push}.","Чем Docker-образ отличается от контейнера? Из каких основных инструкций состоит типовой Dockerfile?"
"Права доступа в *nix: что означают \texttt{rwx}, для чего служат \texttt{chmod} и \texttt{chown} и чем они отличаются?","Что такое \texttt{nmap}? Чем отличаются типы сканирования SYN, connect и UDP?",""
"На схеме показана модель рисков OWASP. Объясните простыми словами, как работает цепочка: как источник угрозы (Threat Agent) через вектор атаки, уязвимость и контроль безопасности доходит до технического и бизнес-воздействия? \\ \protect\includegraphics[width=8cm]{case2.png}","Опишите основные этапы анализа рисков ИБ: идентификация активов, угроз и уязвимостей, оценка вероятности и ущерба, выбор мер обработки.",""
"В чём различие подходов SAST, SCA и IaC-анализа? Приведите по инструменту на каждый (Semgrep, OWASP Dependency-Check, Checkov).","Как настроить и применить Semgrep для статического анализа кода: правило, таргеты, базовый вывод отчёта?","Что такое Fintech и чем он отличается от традиционного банкинга?"
"На схеме показано взаимодействие веб-браузера и сервера по HTTP. Опишите простыми словами, как это работает: как браузер запрашивает страницу, что передаётся в HTTP-запросе и как сервер формирует ответ с HTML? \\ \protect\includegraphics[width=6cm]{case3.png}","Что такое DAST и чем он отличается от SAST и SCA?","Зачем нужны заголовки безопасности и флаги cookie (\texttt{HttpOnly}, \texttt{Secure}, \texttt{SameSite})?"
"Что такое Docker CIS Benchmark и зачем применять его к Docker-хосту и контейнерам? Приведите примеры рекомендаций.","Для чего используется Trivy? Что он сканирует и как его результаты попадают в CI/CD?",""
"На схеме — конвейер принятия решения Quality Gate. Объясните простыми словами, как работают QG-условия ИБ: что проверяется и когда срабатывает QG Toggle для перехода к деплою? \\ \protect\includegraphics[width=8cm]{case1.png}","Опишите DevSecOps-конвейер на GitHub Actions: этапы SAST → SCA → Build+Trivy → DAST → Report и связь задач через \texttt{needs}.",""
"Чем отличаются стратегии обработки риска: избежание, снижение, передача и принятие? Приведите пример для каждой.","Что такое CI/CD? Опишите основные стадии конвейера непрерывной интеграции и доставки.","Что такое AML / ПОД-ФТ и почему это важно в финтех-сервисах?"
"На схеме — модель рисков OWASP. Объясните на примере, как контроль безопасности (Security Control) снижает риск и что произойдёт, если контроль отсутствует (красный путь до бизнес-воздействия)? \\ \protect\includegraphics[width=8cm]{case2.png}","Что такое остаточный риск и как он оценивается после внедрения мер защиты?","Приведите примеры классов уязвимостей из OWASP Top 10 (например, нарушение аутентификации, инъекции, нарушение контроля доступа)."
"Опишите структуру HTTP-запроса (метод, URL, заголовки, тело) и назначение методов GET, POST, PUT, DELETE.","Опишите рекомендуемую структуру репозитория (README, \texttt{src}, \texttt{tests}, \texttt{.gitignore}, LICENSE) и назначение каждого элемента.",""
"На схеме — обмен данными между браузером и сервером по HTTP. Объясните простыми словами, какие риски возникают на этом канале и почему важны HTTPS и заголовки безопасности? \\ \protect\includegraphics[width=6cm]{case3.png}","Опишите типовой рабочий процесс тестирования веб-приложения с помощью OWASP ZAP (spider, active scan, отчёт).",""
"Какие практики уменьшают поверхность атаки Docker-образа: минимальный базовый образ, non-root пользователь, multistage build?","Какие команды используются для управления процессами в *nix (\texttt{ps}, \texttt{top}/\texttt{htop}, \texttt{kill}, \texttt{nice}) и в каких сценариях?","Что такое риск ИБ? Запишите его как \(Риск = Вероятность \times Ущерб\) и поясните компоненты: актив, угроза, уязвимость, воздействие."
"Что делает OWASP Dependency-Check? Как он находит уязвимые зависимости (CVE) и что задаёт параметр \texttt{-{}-failOnCVSS}?","Что такое атаки на цепочку поставок (supply chain attacks)? Приведите пример и меры защиты.",""
"Как оформить итоговый отчёт по оценке рисков ИБ: структура разделов и минимальный набор артефактов/приложений?","Как связать результаты технических анализов (SAST, SCA, DAST, Docker CIS) с обоснованием остаточного риска?","Что анализирует Checkov и для каких артефактов инфраструктуры как кода (IaC) он применяется?"
"Как результаты SAST/SCA/DAST-сканов интегрируются в <<quality gate>> и политику CI/CD-проекта?","Какие стандарты безопасности и требования compliance важны в финтехе (например, PCI DSS)?","Чем отличаются аутентификация (Authentication) и авторизация (Authorization)?"
"Что такое NSE-скрипты nmap? Какие уязвимости и неправильные конфигурации с их помощью можно выявить?","Опишите пайплайн: сканирование nmap → анализ открытых портов и сервисов → поиск уязвимостей → формирование отчёта.",""
